first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
aguilar,conesa,julia,C.D.N.Ciudad De Algeciras,1:45.64,fem,100,braza,benjamin,2023-03-18,11:11:00,True
garcia,corzo,micaela,C.N.Portuense,1:53.47,fem,100,braza,benjamin,2023-03-18,11:11:00,True
zájara,montero,julia,C.N.Conil,1:56.94,fem,100,braza,benjamin,2023-03-18,11:11:00,True
narvaez,pareja,sofia,C.N.Conil,2:01.10,fem,100,braza,benjamin,2023-03-18,11:11:00,True
morillo,machuca,valeria,C.N.Bahia De Cadiz,2:01.72,fem,100,braza,benjamin,2023-03-18,11:11:00,True
muñoz,pérez,ángela,C.N.Bahia De Cadiz,2:12.46,fem,100,braza,benjamin,2023-03-18,11:11:00,True
mohamed,abdeselam,mariam,C.N.Caballa - Ciudad De Ceuta,2:22.03,fem,100,braza,benjamin,2023-03-18,11:11:00,True
monreal,becerra,ana,DkvClub Natacion Jerez,2:24.95,fem,100,braza,benjamin,2023-03-18,11:11:00,True
gonzález,quesada,eva,C.N.Bahia De Cadiz,2:29.55,fem,100,braza,benjamin,2023-03-18,11:11:00,True
lópez,garcia,letizia,C.N.Puerto Real,2:31.10,fem,100,braza,benjamin,2023-03-18,11:11:00,True
colman,martin,valentina,C.N.Bahia De Cadiz,2:33.99,fem,100,braza,benjamin,2023-03-18,11:11:00,True
ayud,garcia,helena,C.N.Portuense,2:46.00,fem,100,braza,benjamin,2023-03-18,11:11:00,True
