first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
serrato,mena,hugo,C.KronosNatación Mijas,1:05.86,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
eraso,granado,mario,C.N.Bahia De Cadiz,1:06.78,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
rodriguez,lopez,david,C.D.N.Sanlucar,1:07.07,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
gallego,guerrero,pablo,C.D.N.Ciudad De Algeciras,1:07.27,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
espinosa,carrasco,guillermo,C.N.San Fernando,1:07.57,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
garcia,carrasco,alejandro,C.N.Estepona,1:13.48,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
veremchut,,vasilii,ClubDeportivo Waterpolo Jerez,1:13.55,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
perez,sanchez,jesus,C.N.Bahia De Cadiz,1:13.66,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
gomez,garcia,samuel,C.D.N.Ciudad De Algeciras,1:17.85,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
alabarce,manrique,ismael,C.N.Los Barrios,1:20.09,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
martin,guerra,javier,C.KronosNatación Mijas,1:22.75,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
labrador,martin,ivan,C.N.San Roque,1:24.65,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
oliva,flores,marcos,C.N.Estepona,1:27.49,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
leonsegui,arcusa,miguel,C.N.Cadiz,1:32.39,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
romero,perez,gonzalo,C.N.Puerto Real,1:33.24,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
bravo,tortosa,victor,ClubNat. Melilla,1:35.90,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
prian,perez,javier,DkvClub Natacion Jerez,1:43.13,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
muñoz,mena,alexis,C.N.Los Barrios,1:46.05,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
escuer,rodriguez,dario,ClubDeportivo Waterpolo Jerez,1:49.51,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
rivas,royo,juan,C.N.San Roque,1:53.00,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
salinas,bozalongo,german,C.N.Cadiz,1:53.16,masc,100,mariposa,alevin,2023-04-15,11:08:00,True
