first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
alonso,flor,celia,C.N.Portuense,00,fem,200,mariposa,absoluto,2023-05-27,16:41:00
souissi,ayuso,fatima,C.N.Cadiz,93,fem,200,mariposa,absoluto,2023-05-27,16:41:00
camargo,jimenez,esperanza,C.N.San Fernando,10,fem,200,mariposa,absoluto,2023-05-27,16:41:00
robles,carreño,maria,C.N.Dos Hermanas,11,fem,200,mariposa,absoluto,2023-05-27,16:41:00
bastos,mihaiescu,sonia,C.N.Bahia De Cadiz,10,fem,200,mariposa,absoluto,2023-05-27,16:41:00
olmedo,díaz,ana,C.N.Puerto Real,09,fem,200,mariposa,absoluto,2023-05-27,16:41:00
cortiñas,tobajas,victoria,C.N.Dos Hermanas,11,fem,200,mariposa,absoluto,2023-05-27,16:41:00
lahitette,,ainara,C.N.Los Barrios,10,fem,200,mariposa,absoluto,2023-05-27,16:41:00
ballesteros,rivera,norah,C.N.Los Barrios,11,fem,200,mariposa,absoluto,2023-05-27,16:41:00
amate,ramos,maria,C.N.Portuense,08,fem,200,mariposa,absoluto,2023-05-27,16:41:00
rubiño,rubio,jimena,C.N.Alcala,11,fem,200,mariposa,absoluto,2023-05-27,16:41:00
