first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
labrador,martin,ivan,C.N.San Roque,00:01:22.130000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
muñoz,rodriguez,rodrigo,DkvClub Natacion Jerez,00:01:24.830000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
moncayo,viruel,rodrigo,C.N.Caballa - Ciudad De Ceuta,00:01:28.090000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
reinado,hurtado,dario,DkvClub Natacion Jerez,00:01:28.770000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
benítez,pina,daniel,C.N.Caepionis,00:01:29.040000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
matres,casado,mario,C.N.Caballa - Ciudad De Ceuta,00:01:30.720000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
escuer,rodriguez,dario,ClubDeportivo Waterpolo Jerez,00:01:32.330000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
fuentes,diaz,daniel,DkvClub Natacion Jerez,00:01:33.540000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
palmero,espinosa,jose,ClubDeportivo Waterpolo Jerez,00:01:33.570000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
vargas,guzman,fabio,DkvClub Natacion Jerez,00:01:34.570000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
muñoz,lorenzo,daniel,C.N.Caepionis,00:01:37.960000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
ferrera,pozuelo,raul,DkvClub Natacion Jerez,00:01:39.910000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
marín,lópez,francisco,C.N.Conil,00:01:42.680000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
rivas,royo,juan,C.N.San Roque,00:01:42.690000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
jiménez,rubio,juan,C.N.Los Barrios,00:01:46.840000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
diaz,bonora,iker,C.N.San Roque,00:01:49.620000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
rodriguez,garcía,javier,C.D.N.Ciudad De Algeciras,00:01:55.220000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
toro,palomino,david,C.N.Caballa - Ciudad De Ceuta,00:01:58.520000,masc,100,espalda,alevin,2023-01-14,12:31:00,True
jimenez,de,fazio,C.N.Dos Hermanas,00:00:40.390000,fem,50,braza,alevin,2023-04-01,10:36:00,False
davila,delcan,ainhoa,C.N.Huelva,00:00:42.990000,fem,50,braza,alevin,2023-04-01,10:36:00,False
chamorro,benavente,belen,DkvClub Natacion Jerez,00:00:44.270000,fem,50,braza,alevin,2023-04-01,10:36:00,False
aguaded,eugenio,violeta,FusionColombino-Lepe,00:00:44.530000,fem,50,braza,alevin,2023-04-01,10:36:00,False
gavilán,gómez,claudia,C.N.Dos Hermanas,00:00:45.340000,fem,50,braza,alevin,2023-04-01,10:36:00,False
gonzalez,dominguez,lola,CirculoMercantil,00:00:46.220000,fem,50,braza,alevin,2023-04-01,10:36:00,False
peña,brenke,alina,FusionColombino-Lepe,00:00:46.240000,fem,50,braza,alevin,2023-04-01,10:36:00,False
morales,adriana,11,DkvClub Natacion Jerez,00:00:48.140000,fem,50,braza,alevin,2023-04-01,10:36:00,False
